"calageBP","delta14c","delta14c_sig"
952,-12.4730595801029,0.499155719572982
953,-12.2457668596281,0.506214288027273
954,-12.4760201920564,0.474186809638617
955,-13.4079230303928,0.511602648561091
956,-15.1865220435246,0.475570849718885
957,-17.2729610977988,0.477260122779944
958,-18.8461616837142,0.497017955061059
959,-19.5513404702799,0.484993178882057
960,-19.7507263641649,0.555891230139526
961,-19.819191558643,0.565177913780034
962,-19.8322162302751,0.604583676391467
963,-19.7514129091118,0.621896939727007
964,-19.5821813641755,0.598887330903002
965,-19.3913808446479,0.642768774083953
966,-19.2274335455509,0.617961369416873
967,-19.0106486734912,0.636220078682343
968,-18.6217026694708,0.647615735112887
969,-18.1155127229555,0.627437213293094
970,-17.7685649023943,0.673085767131849
971,-17.8154095883973,0.650925374324473
972,-18.2093534642604,0.668709613845337
973,-18.8161557456677,0.668440608405534
974,-19.5059688738785,0.643366196295227
975,-20.1540672446434,0.685512142073235
976,-20.6544065234807,0.657777339477733
977,-20.9835444432881,0.675177600223677
978,-21.1401284087129,0.687361302056577
979,-21.0952109908862,0.69989171502203
980,-20.7907128059462,0.768552991011884
981,-20.2169158205359,0.771500328043829
982,-19.5649220152722,0.848869305222187
983,-19.0691848927848,0.932727400331646
984,-18.80718148695,0.921222847866437
985,-18.7053410848194,0.931694133420648
986,-18.6839753204284,1.03899589259024
987,-18.6793705503688,1.1736372556649
988,-18.6804302024721,1.27052966443476
989,-18.6868752798223,1.3119832896763
990,-18.6984267855031,1.29936290280242
991,-18.7148057225985,1.24226550104932
992,-18.7357330941923,1.15521679732599
993,-18.7609299033684,1.05698566421691
994,-18.7901171532105,0.970197409273174
995,-18.8230158468027,0.918333091988686
996,-18.8593469872287,0.917193302232329
997,-18.8988315775724,0.965260977540768
998,-18.9411906209177,1.04449260036299
999,-18.9860607576333,1.13116120624382
1000,-19.0323477202688,1.2094277521271
1001,-19.0785823212183,1.27237002699922
1002,-19.1232923164779,1.31731442313866
1003,-19.1650054620437,1.34393356913027
1004,-19.2022495139118,1.3532620053114
1005,-19.2335522280782,1.3471847689622
1006,-19.2574413605391,1.3281664521068
1007,-19.2724446672905,1.29910037669445
1008,-19.2770899043286,1.26321047489498
1009,-19.2699048276493,1.22395998231925
1010,-19.2494171932488,1.18492768718481
1011,-19.2141547571232,1.14961630567871
1012,-19.1626452752686,1.12117155229557
1013,-19.093416503681,1.10202666511545
1014,-19.0049961983565,1.09354347983176
1015,-18.8959121152912,1.09576627448602
1016,-18.7646920104812,1.10739083914595
1017,-18.6098636399226,1.12596701689782
1018,-18.4299547596115,1.14825431643211
1019,-18.2234931255439,1.17060927085374
1020,-17.989006493716,1.1893142910238
1021,-17.7252710378035,1.2009444427404
1022,-17.4338120535826,1.2038782357389
1023,-17.117864735809,1.19802174104735
1024,-16.7806900465054,1.18386011249543
1025,-16.4255489476943,1.16230441648737
1026,-16.0557024013982,1.13460199031965
1027,-15.6744113696397,1.10227853236196
1028,-15.2849368144412,1.06709608225503
1029,-14.8905396978253,1.03101191193825
1030,-14.4944809818146,0.996122160628535
1031,-14.1000216284315,0.964572847744809
1032,-13.7104225996987,0.938423645697832
1033,-13.3289448576385,0.919461827821596
1034,-12.9588493642737,0.908987777711097
1035,-12.6033970816266,0.9076219507867
1036,-12.2658489717198,0.915196290341164
1037,-11.9494659965759,0.930772318149122
1038,-11.6575091182174,0.952779470897612
1039,-11.3932392986669,0.979222788012508
1040,-11.1599174999467,1.00789687414706
1041,-10.9608046840796,1.03656226455363
1042,-10.7991618130879,1.06306976924185
1043,-10.6782498489943,1.08544022115764
1044,-10.6013297538213,1.10191682145273
1045,-10.5716624895914,1.11100907227913
1046,-10.5918140630685,1.11173699022672
1047,-10.6600721636416,1.10466332920951
1048,-10.7730977144734,1.09113332697819
1049,-10.9275484828535,1.07276841392943
1050,-11.1200822360719,1.05141795556232
1051,-11.3473567414182,1.0291103379388
1052,-11.6060297661823,1.00798559828592
1053,-11.8927590776539,0.990194376062736
1054,-12.2042024431229,0.977754552540601
1055,-12.537017629879,0.972371878494772
1056,-12.887862405212,0.97525272427295
1057,-13.2533945364117,0.986955546436503
1058,-13.630271790768,1.00732730784546
1059,-14.0151519355704,1.03554526766468
1060,-14.404692738109,1.07024638586112
1061,-14.7955519656734,1.10969997651309
1062,-15.1843873855534,1.15197742106499
1063,-15.5678567650388,1.19508952047334
1064,-15.9426178714195,1.23708254603937
1065,-16.3053284719851,1.27609813768305
1066,-16.6526463340255,1.31040809906754
1067,-16.9812292248305,1.33843563556668
1068,-17.2877349116899,1.35877298650819
1069,-17.5688211618934,1.37020390602113
1070,-17.8211457757274,1.37173917993256
1071,-18.0421841423736,1.36303547987786
1072,-18.2323519024289,1.34535111759142
1073,-18.3927254129719,1.32046533816897
1074,-18.5243810310813,1.29034609292874
1075,-18.6283951138357,1.25711939318498
1076,-18.7058440183138,1.22302855840736
1077,-18.7578041015943,1.1903703462768
1078,-18.7853517207557,1.16139601767251
1079,-18.7895632328767,1.13817120202954
1080,-18.771514995036,1.12240170882197
1081,-18.7322833643123,1.11525189566184
1082,-18.6729446977842,1.11719923359182
1083,-18.5945753525302,1.12796985710305
1084,-18.4982516856292,1.14657799985985
1085,-18.3850500541597,1.1714567917892
1086,-18.2560468152004,1.20063999795867
1087,-18.1123183258299,1.23194851724337
1088,-17.9549409431269,1.26314927733594
1089,-17.7849910241701,1.29207454397233
1090,-17.603544926038,1.31670572184961
1091,-17.4116790058094,1.33523413955757
1092,-17.2104696205629,1.34611411525424
1093,-17.0009931273771,1.34812428728741
1094,-16.7843258833307,1.34045462250811
1095,-16.5615448737781,1.32284450719654
1096,-16.3338404638609,1.29645893245051
1097,-16.1026468833863,1.2646319106486
1098,-15.8694299927836,1.23132736936027
1099,-15.6356556524822,1.20077791321909
1100,-15.4027897229114,1.17721845430108
1101,-15.1722980645005,1.16447805630017
1102,-14.945646537679,1.16547035936729
1103,-14.724301002876,1.18172031485559
1104,-14.509727320521,1.21311362370794
1105,-14.3033913510433,1.25798060512022
1106,-14.1067589548723,1.31346340004768
1107,-13.9212959924373,1.37599735773526
1108,-13.7484683241676,1.4417433117923
1109,-13.5897418104925,1.50689198047747
1110,-13.4465823118415,1.56784124329139
1111,-13.3204556886438,1.62128467749541
1112,-13.2128278013289,1.66425436752128
1113,-13.1251645103259,1.69415280399403
1114,-13.0589316760643,1.70880088340308
1115,-13.0155951589734,1.70652716513607
1116,-12.9966208194826,1.6863299926346
1117,-13.0034745180212,1.6481614339444
1118,-13.0376221150185,1.59341418809541
1119,-13.1005294709039,1.52574080297028
1120,-13.1935957743877,1.45242373288475
1121,-13.3154799736832,1.38717599986751
1122,-13.4611930481769,1.34575801284552
1123,-13.6254930879777,1.33687554457177
1124,-13.8031381831944,1.35833823531945
1125,-13.9888864239359,1.39765878726932
1126,-14.1774959003111,1.43637643251037
1127,-14.363724702429,1.45482267555629
1128,-14.5423309203983,1.43543115376743
1129,-14.7080726443279,1.3653383627666
1130,-14.8557079643269,1.2409865882572
1131,-14.9799949705039,1.08131312561587
1132,-15.0770847947742,0.963474286864972
1133,-15.159914813905,0.976225691637964
1134,-15.2523910328334,0.993996723297518
1135,-15.3337888797908,0.941880387022131
1136,-15.2759363807702,0.980400903587637
1137,-14.9381076740508,1.05905395451122
1138,-14.3164348395899,1.10048300119477
1139,-13.5921504610949,1.18726088112152
1140,-12.9596221838749,1.28728272942082
1141,-12.6090366298719,1.27572469206166
1142,-12.5858906207008,1.19736822848256
1143,-12.7574425545828,1.19764967977524
1144,-12.9860422031003,1.1975301932952
1145,-13.1909961952461,1.1555651361899
1146,-13.3227682420582,1.137795064078
1147,-13.3321394950493,1.13070150800107
1148,-13.1704608813134,1.03344379912066
1149,-12.8611159600575,0.86448062447858
1150,-12.5690798050276,0.775322381667456
1151,-12.456141835661,0.689204508741878
1152,-12.5201366360702,0.667751305262874
1153,-12.6778288798344,0.683522595173704
