"calageBP","realisation_1","realisation_2","realisation_3","realisation_4","realisation_5"
761,871.521487274016,874.794805581742,862.93391481999,861.081972624925,859.364827472961
762,870.13609432719,872.052271875765,867.912955739784,857.554159912262,859.46043625092
763,867.822866254062,868.034690005713,869.617053280536,854.896807181524,859.389932547195
764,864.827563215565,864.979445638588,862.608239396653,854.16866711785,859.076283159606
765,861.561415362286,862.975763502441,852.684923118166,854.663337080922,859.490415046771
766,858.494474677766,861.510971449991,848.59950609881,855.214168445565,861.853005468657
767,856.409974982781,860.511723043057,852.241679856076,855.938635342203,865.983818281072
768,856.430076745422,860.379360047269,858.104548045023,858.343676648008,870.184887653851
769,859.218826802961,861.235887142962,861.625785048148,863.236470042748,873.171047687332
770,863.466480384871,861.945189744111,863.718431720672,868.223879287108,875.695320058609
771,867.41014722341,861.175378836005,866.624925183035,870.248905893666,878.989683911773
772,870.648303915552,860.523755930132,870.45322600851,870.106719650935,883.135184450416
773,874.124656519869,864.475309503612,873.203311154217,872.394096023488,887.075981281397
774,878.389791398934,875.440518566395,873.533804320214,880.191033789692,889.82739457955
775,882.309106411872,887.594557940855,872.902289487458,890.303344791331,890.855449452686
776,884.409866677667,893.457262036857,873.337400780366,898.19135415611,889.776122453554
777,884.307270866264,891.25125870499,875.310652731046,901.847044593892,887.044684869564
778,882.596119152968,884.352746288324,877.894439312375,901.552966750492,883.869297234638
779,879.85255335297,876.366086181896,880.058399615342,897.871704815181,881.391174255748
780,876.471288831381,871.034591435669,880.595234038601,892.015713886995,880.442105109535
781,872.892091111991,871.832823920633,878.431089898456,885.383298530116,881.704229478373
782,870.929348315707,877.453990023321,875.28431650282,880.222951570178,884.46148030848
783,873.521550304717,882.672932804967,875.153891830515,879.476067917272,886.851779108712
784,881.928667035823,884.324550662573,880.247733921904,884.599071724164,887.706700287611
785,892.219595376178,885.847676796046,887.160956079101,892.497306128679,888.060691634343
786,899.692540562316,891.555097106005,891.754189588392,899.34989651594,889.290361552422
787,902.822743494667,900.442964957533,894.604638272699,903.30004947899,891.736072526536
788,902.470137293393,907.529810468136,899.813799188336,903.964913689928,894.965329451283
789,899.919850813302,909.46289454806,909.125906257273,901.904578829429,898.666080988027
790,897.447767934934,907.628854815187,917.603048045526,900.144785582091,902.905500211173
791,897.360615626949,904.248431347694,919.762247239547,901.886099103951,907.787913229535
792,900.304105312652,901.915631915631,917.623911284155,907.36032509462,913.078704874862
793,905.798351643692,903.472524334389,918.298628794275,914.784766218273,918.313554931957
794,913.273699778663,910.560531748297,925.826266427126,922.687002501264,923.473445844831
795,921.988146565115,921.851308528665,936.452083845848,930.457308259471,929.649722003004
796,931.160214397421,935.450365676173,945.518495135217,937.57149042687,937.778034844105
797,939.880263456937,948.18360554793,951.532097059037,943.024874903234,945.210324493976
798,947.157975588459,956.083942879044,954.963078700681,945.51896468838,947.08988821699
799,952.035864530934,957.436135777309,956.012057504611,944.521683311622,941.930050393682
800,953.637676562513,955.594431472984,954.209334482787,941.218008277467,935.823106842082
801,951.367513283778,954.284057996459,949.249058030669,937.090814203296,935.218864567095
802,947.212746075987,954.175376171455,943.261010453895,934.263438478123,940.282718254066
803,944.59273300233,954.229428383072,939.720956188417,935.204836384407,947.663540328836
804,945.278706811798,953.882706822226,940.403566337645,940.710357067822,954.355102847453
805,947.695978010917,953.568262896945,943.636540650042,948.188366699162,958.129439459921
806,949.848927621678,953.770032943635,947.394336657936,954.749360008527,957.256401255868
807,949.577543360216,954.381586075455,950.166416651516,958.490942208245,953.484059304652
808,944.667924357934,954.996731570993,950.713864595755,958.032872176043,950.304784119293
809,935.536100867511,955.287923832506,948.724229708072,953.596449512537,948.904428953268
810,927.389493613186,955.075900518085,945.575945789323,948.31869625704,946.23291492965
811,925.214525036574,954.098669854958,942.73650425415,945.163816073956,939.600875252809
812,928.557407709646,951.339926549345,940.986413676128,943.451495126112,932.490639142698
813,934.467984826087,945.467293329756,940.780594728428,940.85266509696,931.153482313978
814,940.382569450173,937.29479609288,941.921662169163,937.130419661825,937.34244351222
815,944.400330796114,931.191577979205,943.130345964557,935.533422629769,945.318864992383
816,945.124722932352,931.132734927124,943.223114111051,938.843075865064,949.411569470806
817,944.186569922731,936.206567180762,942.367955899958,944.427118404296,949.331700166842
818,944.440076345844,943.46342216662,941.292496835701,947.432145639352,947.042014353031
819,946.461458683124,949.883897154443,940.455577306692,945.617162602311,944.231213332472
820,947.378030206321,952.353284681553,939.907425626136,940.712698234858,942.159619291305
821,944.709559889182,948.623531094253,939.77244643349,934.922693960842,941.876294935219
822,940.123509811289,941.785268243128,940.835479717816,931.324346995193,943.366755531606
823,936.814537453367,936.875000458672,944.096736903901,933.256696442827,946.199997082556
824,936.510797961592,936.374405152904,949.029220928716,941.205451472493,949.232289737354
825,938.927769425905,939.264590789942,952.999897200271,951.725570779657,950.338689950803
826,943.43563726094,944.190433181084,953.788585002685,961.243087431674,948.048339610359
827,948.301697818755,949.328156759845,952.294811909193,967.093918529471,944.861190464018
828,951.453340633234,952.717446618732,950.459351059737,966.998779292333,944.547396310473
829,952.211376656424,953.340278228067,949.451963906882,961.313454066661,948.125875458448
830,951.646439710627,951.363556761778,949.476847231952,953.688025626566,953.171185819511
831,950.930365897182,947.416216077842,950.568173605526,947.501650041453,957.509492252679
832,951.186546233327,944.018220833766,952.223400587475,943.824179488989,961.286667455791
833,953.480834724226,944.191478146071,953.806995811007,943.004286438036,965.331574682486
834,957.61617363021,948.795139261277,955.622114638951,944.92814539769,969.577628889775
835,961.951900868623,956.222573706984,959.044336300843,948.953866347399,972.93374166786
836,965.054428168432,964.623037726282,964.667166137788,954.225751209622,974.543482614765
837,966.762215056036,971.661709205622,969.361408163356,959.065802617823,974.839026949524
838,967.28328503153,974.954546984581,969.126475646721,961.637629292586,974.583092182083
839,967.26037604464,974.327680830957,963.961121591119,961.868944757751,973.905638435354
840,967.787918429648,971.910879617724,958.022438878981,961.525098206106,972.278531271368
841,969.481879043929,969.311684347519,954.675751330307,962.022105227333,969.252611564513
842,970.975780717179,965.640977426274,953.413520649164,963.050320658716,964.811595167822
843,970.486922840882,959.489479027884,952.80486555731,963.839381286242,959.097297485991
844,967.823526337398,951.458304265556,952.120834455031,962.933038237929,953.305870985262
845,964.301814089435,944.046097848434,951.297086601392,958.226976610415,949.628903205116
846,960.768977272703,939.30139754006,950.154350607167,949.116399183693,949.290566936628
847,956.193074109012,937.430606461961,948.009798855709,940.4069769962,949.937368813575
848,949.259175022398,938.182334739086,944.182393717378,937.727157640723,948.570736944311
849,941.025882823924,940.401592171462,940.014263307021,940.227539740472,944.903275958227
850,934.592004902706,942.150734483183,938.590394905716,941.471359557126,940.988299996875
851,932.211696264769,942.300781278818,941.673888295866,937.482473203379,938.495187871027
852,933.243738595385,942.404863308745,946.607838137414,932.778024313088,937.624604816249
853,936.505446367011,944.455574678446,950.039037668784,933.204364386347,938.308175699076
854,941.342051716674,948.935998476847,951.597924372742,939.020432797516,940.850555551619
855,947.513278714957,955.140152004906,953.267987579133,946.089630223592,945.850096010205
856,954.265781449148,961.713720890345,956.326290595168,951.273472576334,952.951926286816
857,959.325857882679,965.516543419784,959.818916297786,954.68691763057,959.009363182804
858,960.36348982038,963.445560234436,962.464661904308,956.987870563457,960.69535548368
859,958.025599586787,957.259746548228,963.995332943835,958.232710949924,959.118977871107
860,955.092453853383,952.19067425141,964.86933143607,958.047143891365,958.567549382213
861,953.602968258491,951.389944503653,965.108802677781,956.574170791132,961.372459622384
862,953.547208049496,952.415472197018,963.555172155199,955.329919702295,964.583543534363
863,954.561583771294,952.16807561062,959.08460598151,955.83167666542,964.687308836181
864,955.993170060364,950.399991692627,953.205291998096,957.014616879349,961.599662948602
865,957.000163681458,948.721250763943,949.12767186469,956.134516341582,957.471164503578
866,956.813722369929,948.189306541069,948.032054656295,951.882854280851,953.461056987729
