"calageBP","realisation_1","realisation_2","realisation_3","realisation_4","realisation_5"
3477,3270.42197090281,3263.41461586596,3266.6795234305,3258.99384864458,3260.94535106544
3478,3270.05712745571,3262.33798044637,3267.29870219312,3260.89342561449,3259.89523614345
3479,3272.31489794245,3264.41748094778,3270.33715907978,3265.08646873497,3262.58512728819
3480,3277.96040861264,3270.06254497683,3275.54357624441,3270.61532501492,3269.19075127187
3481,3284.80359912192,3277.65212685126,3282.02460254433,3276.52539681764,3277.26977142487
3482,3289.60641024048,3284.83488746838,3288.64828646374,3281.87442720384,3283.45833385363
3483,3291.42390514338,3290.41722024749,3294.33929703313,3286.26846522676,3286.83310347773
3484,3292.42392193667,3294.78071608815,3298.10116264865,3290.05763744176,3289.78590058134
3485,3294.51981293929,3298.31914329563,3299.25472384572,3293.56877729299,3294.34216095172
3486,3297.06693953708,3300.88407690936,3298.79690833142,3296.71656588495,3299.28098663381
3487,3298.59510339341,3302.16430487259,3298.26400375353,3299.2857428043,3302.34177049188
3488,3298.66867408946,3302.48796442065,3298.47538306624,3301.33808369856,3302.94450739259
3489,3298.12795519681,3302.97062213143,3299.36763716056,3303.27702421833,3302.58385774489
3490,3297.84491669003,3304.48015723379,3300.87952583855,3305.45542490408,3302.73418287247
3491,3298.46635051769,3306.45771039394,3303.22167735594,3307.87996608479,3304.15596830928
3492,3300.54194369397,3307.94288615418,3306.65640003897,3310.44758293057,3307.36427534374
3493,3303.77621196958,3308.77649670909,3310.57492772609,3312.89742180001,3311.98060921669
3494,3306.9239381512,3309.69911865631,3313.38898602027,3314.7914057718,3316.6214818078
3495,3309.04774287592,3311.43742880613,3314.0039814337,3315.84430861587,3320.12832326627
3496,3310.76684644189,3314.45127586016,3313.6943456651,3316.47432234826,3322.55677204732
3497,3313.08214370712,3319.07515704356,3314.31881571884,3317.27862128472,3324.29898386689
3498,3316.03021017425,3324.35133555222,3316.37965321669,3318.58038271123,3325.91551623635
3499,3318.66019604547,3327.99643106255,3318.99190387702,3320.42256228833,3328.13905956998
3500,3320.22848155723,3328.31553227641,3321.21524774103,3322.63887181649,3331.06651282109
3501,3320.97517450553,3326.14966692281,3322.13958367048,3324.29719012696,3332.28681613497
3502,3321.34895089077,3322.91507200137,3320.92427792051,3324.32007105514,3328.93982951824
3503,3321.16638104098,3319.16483792961,3317.9823197224,3322.46963235562,3321.43611815405
3504,3319.65500766125,3314.64840924286,3314.89355847006,3319.29094707066,3313.22712864801
3505,3316.60690252286,3309.58543719803,3313.02429943774,3315.50791283466,3307.19349971818
3506,3313.86433937123,3305.94430365401,3312.84565588119,3312.36519009032,3303.851072184
3507,3313.60121341255,3305.90569996566,3314.58601332587,3311.13981650004,3303.16637039067
3508,3316.0122374486,3308.75008098091,3317.63907326171,3311.72293257511,3304.48946251059
3509,3319.61209885691,3311.29405807642,3320.68817666211,3312.82966036852,3306.64607870935
3510,3323.00522703645,3311.37981338645,3322.63860078615,3313.57783930844,3308.8517963443
3511,3325.24828904255,3310.3337173872,3323.16945950122,3314.4710448463,3311.60315869306
3512,3325.55751207759,3310.06508661416,3322.1541988506,3316.25203138143,3315.55714222301
3513,3324.21708864837,3310.96029979978,3320.09443402174,3319.16463160775,3319.98379953704
3514,3322.33737079697,3312.22804878537,3317.97687027932,3323.06604825039,3323.0778898582
3515,3320.84904868835,3313.43091400359,3316.65398980637,3327.39395068438,3323.82066962426
3516,3320.11393443214,3315.2233305809,3316.56438500579,3330.42169566057,3323.5114194833
