"calageBP","realisation_1","realisation_2","realisation_3","realisation_4","realisation_5"
947,-14.9187221579968,-14.420001530152,-14.2221366766464,-13.8707182694241,-14.4830846644394
948,-14.9197458761566,-14.2620877285272,-13.8184240902918,-13.7280498885202,-14.1282963572857
949,-14.9751649596943,-14.1430340539789,-13.4783692723297,-13.6024387580564,-14.0871516148384
950,-14.754084872355,-13.6098169950739,-13.1584103964368,-13.3280732100587,-14.0401972794705
951,-13.9782769596863,-12.308550128891,-12.8253205874114,-12.7842207542284,-13.6845378666465
952,-12.9598671454097,-10.8414833109643,-12.5229894366777,-12.2168443442076,-13.0857178279605
953,-12.2849407814067,-10.2525268965059,-12.3330865284309,-12.0420254885665,-12.4830482405898
954,-12.3259954027639,-11.0836679741892,-12.4615706973364,-12.5393738636131,-12.1954500697576
955,-13.0924095599334,-13.0255361037527,-13.3237934533728,-13.7565321863696,-12.6745156685324
956,-14.5219827599085,-15.6398132863949,-15.2182578255841,-15.6451841298044,-14.2493405515829
957,-16.2982043635746,-18.1619878685821,-17.4916510894222,-17.6455951379267,-16.3092950639892
958,-17.9981445462799,-19.7002598127685,-19.0976450781834,-18.9895135716121,-17.8550576098779
959,-19.2861948003637,-20.012553064017,-19.6251604851945,-19.404898799653,-18.4754421074825
960,-19.9613172099246,-19.8543766807855,-19.6399742962063,-19.3822118519408,-18.6638083512084
961,-19.9035631249043,-19.9291662701674,-19.7051958378283,-19.4162748627988,-18.9157308898411
962,-19.4259313294136,-20.0909224207598,-19.8524304040574,-19.6270743222134,-19.2637360047793
963,-19.0030027724652,-19.8777404648543,-19.9114345798675,-19.9884398030742,-19.5642409673918
964,-18.9044339699759,-19.2810739931787,-19.8033980132241,-20.3637326237336,-19.7414754268448
965,-19.1133137297487,-18.9262368597955,-19.5777423761625,-20.4625022448087,-19.8148493651601
966,-19.5345088593482,-19.311146086136,-19.2858551245387,-20.0426440704956,-19.8020894204083
967,-19.7558584647779,-19.9619074363196,-18.9370017753302,-19.1949523771598,-19.6721566026012
968,-19.2723549185573,-20.0851857472419,-18.529100773232,-18.1286554233275,-19.3795962851984
969,-18.2038994929871,-19.5126040550165,-18.1797473697556,-17.1726844781732,-18.9701192294765
970,-17.4649826337851,-18.870715624184,-18.1587013246473,-16.8080091929498,-18.6053566109674
971,-17.7815913108255,-18.7064231776594,-18.6479121197778,-17.3907928682147,-18.4450778924372
972,-18.6806110023105,-18.9115028600501,-19.3412270399277,-18.6042180251914,-18.6022693505378
973,-19.335260027615,-19.1804826053521,-19.7919661551387,-19.9278701767355,-19.1687781436132
974,-19.5341172165802,-19.4216165871623,-19.9085229107673,-21.0312578859508,-20.0369762328676
975,-19.778670796725,-19.7907940459334,-20.0106273365343,-21.8039558461796,-20.8681905312379
976,-20.4798896330116,-20.3917332812331,-20.3511177333221,-22.1907374183984,-21.3815845478609
977,-21.4633986348031,-21.0317492828185,-20.7792528480047,-22.3290269741994,-21.6140039036026
978,-22.3920026520954,-21.4413319068533,-21.0371402093656,-22.3997927645922,-21.6865864809645
979,-22.9643466681685,-21.5119807960522,-21.0214051791665,-22.317010020902,-21.5974930090411
980,-22.9169194374438,-21.3051713405414,-20.7917972040606,-21.7127977490319,-21.2150576007392
981,-22.1117224295705,-20.8914893463482,-20.4288970066326,-20.3709916014012,-20.4789957509112
982,-20.9100421794134,-20.345472642251,-20.0658677759652,-18.7422044276681,-19.6421983086805
983,-19.786702721129,-19.7419602065736,-19.8438578464812,-17.4274026263011,-19.0264050370969
984,-18.9498854382835,-19.1408444893799,-19.7906077602407,-16.6441434778977,-18.7352540259122
985,-18.3511996813199,-18.5876359163517,-19.8247334780838,-16.2410558242505,-18.6625190035075
986,-17.9318591875127,-18.1272593628799,-19.8604330298632,-16.0518248750859,-18.6934741037625
987,-17.6423372218807,-17.7927436868413,-19.8312257857535,-15.9425940754073,-18.7365399261459
988,-17.4636058095468,-17.5779349935607,-19.7342711783176,-15.8864168507706,-18.7763762176002
989,-17.3829072340264,-17.4686237827519,-19.5798124387358,-15.8783263137918,-18.8133167771489
990,-17.3874837788348,-17.4506005541287,-19.3780927981887,-15.9133555770868,-18.8476954038156
991,-17.4645777274873,-17.5096558074048,-19.1393554878568,-15.9865377532716,-18.8798458966238
992,-17.6014313634991,-17.6315800422939,-18.8738437389205,-16.0929059549619,-18.9101020545972
993,-17.7852869703857,-17.8021637585097,-18.5918007825604,-16.2274932947739,-18.9387976767593
994,-18.0033868316624,-18.007197455766,-18.3034698499569,-16.3853328853233,-18.9662665621337
995,-18.2429732308444,-18.2324716337765,-18.0190941722906,-16.5614578392261,-18.9928425097439
996,-18.4912884514472,-18.4637767922549,-17.7489169807418,-16.7509012690984,-19.0188593186137
997,-18.7355747769859,-18.6869034309149,-17.5031815064912,-16.9486962875559,-19.0446507877664
998,-18.9630744909761,-18.8876420494704,-17.2921309807192,-17.1498760072146,-19.0705507162257
999,-19.1620092534822,-19.0529292992601,-17.1249913283381,-17.3497173908864,-19.0967746226411
1000,-19.3290859182623,-19.1796319433326,-17.0021746623146,-17.5456100884257,-19.122513259564
1001,-19.4653638306661,-19.2697104089809,-16.9195720388459,-17.7360274553651,-19.146431724389
1002,-19.5719378181233,-19.3251666477143,-16.8730376578839,-17.9194516817477,-19.1671908293009
1003,-19.6499027080635,-19.3480026110418,-16.8584257193804,-18.0943649576162,-19.1834513864846
1004,-19.7003533279165,-19.3402202504728,-16.8715904232875,-18.2592494730138,-19.1938742081251
1005,-19.7243845051118,-19.3038215175163,-16.9083859695571,-18.4125874179832,-19.1971201064072
1006,-19.7230910670793,-19.2408083636817,-16.964666558141,-18.5528609825675,-19.1918498935159
1007,-19.6975678412485,-19.1531827404781,-17.0362863889913,-18.6785523568096,-19.1767243816361
1008,-19.6489096550492,-19.0429465994147,-17.1190996620598,-18.7881437307524,-19.1504043829526
1009,-19.578211335911,-18.9121018920007,-17.2089605772986,-18.8801172944389,-19.1115507096505
1010,-19.4865677112635,-18.7626505697453,-17.3017233346594,-18.9529552379121,-19.0588241739145
1011,-19.3750736085366,-18.5965945841577,-17.3932421340943,-19.0051397512147,-18.9908855879297
1012,-19.2448238551597,-18.4159358867471,-17.4793711755552,-19.0351530243899,-18.9063957638809
1013,-19.0969132785627,-18.2226764290227,-17.555964658994,-19.0414772474805,-18.804015513953
1014,-18.9324367061752,-18.0188181624936,-17.6188767843627,-19.0225946105295,-18.682405650331
1015,-18.7524889654268,-17.8063630386692,-17.6639617516131,-18.9769873035798,-18.5402269851998
1016,-18.5581648837473,-17.5873130090585,-17.6870737606972,-18.9031375166744,-18.3761403307442
1017,-18.3505592885663,-17.3636700251708,-17.684067011567,-18.7995274398561,-18.1888064991493
1018,-18.1307670073135,-17.1374360385153,-17.6507957041743,-18.6646392631681,-17.9768863025998
1019,-17.8998828674185,-16.9106130006012,-17.5831140384712,-18.4969551766531,-17.7390405532807
1020,-17.6590016963111,-16.6852028629376,-17.4768762144095,-18.2949573703541,-17.473930063377
1021,-17.4092376308727,-16.4631253263202,-17.3283651049887,-18.0574089407426,-17.1804815179001
1022,-17.1519184966422,-16.2453898614249,-17.1386075070298,-17.7861816441541,-16.8605638918948
1023,-16.8885050292314,-16.032439793992,-16.9115808431198,-17.4850807612047,-16.5178762059781
1024,-16.6204599671358,-15.8247099182596,-16.6513070002043,-17.1579407096912,-16.1561450585789
1025,-16.3492460488509,-15.6226350284657,-16.3618078652286,-16.8085959074103,-15.7790970481259
1026,-16.0763260128723,-15.4266499188483,-16.0471053251381,-16.440880772159,-15.3904587730478
1027,-15.8031625976956,-15.2371893836453,-15.7112212668782,-16.058629721734,-14.9939568317734
1028,-15.5312185418164,-15.0546882170947,-15.3581775773943,-15.665677173932,-14.5933178227316
1029,-15.2619565837302,-14.8795812134346,-14.9919961436317,-15.26585754655,-14.1922683443509
1030,-14.9968394619326,-14.7123031669029,-14.6166988525359,-14.8630052573846,-13.7945349950603
1031,-14.7373299149192,-14.5532888717376,-14.2363075910523,-14.4609547242327,-13.4038443732885
1032,-14.4848906811854,-14.4029731221766,-13.8548442461262,-14.063540364891,-13.0239230774642
1033,-14.240984499227,-14.2617907124581,-13.476330704703,-13.6745965971565,-12.6584977060162
1034,-14.0070741075395,-14.1301764368199,-13.1047888537282,-13.2979578388258,-12.3112948573732
1035,-13.7846222446184,-14.0085650895,-12.7442405801471,-12.9374585076957,-11.9860411299641
1036,-13.5750916489593,-13.8973914647365,-12.3987077709051,-12.5969330215632,-11.6864631222176
1037,-13.3799450590578,-13.7970903567672,-12.0722123129476,-12.2802157982249,-11.4162874325624
1038,-13.2006452134095,-13.7080965598303,-11.7687760932199,-11.9911412554776,-11.1792406594273
1039,-13.0386548505098,-13.6308448681637,-11.4924209986676,-11.7335438111182,-10.9790494012412
1040,-12.8954367088545,-13.5657700760053,-11.2471689162359,-11.5112578829435,-10.8194402564326
1041,-12.772453526939,-13.5133069775932,-11.0370417328703,-11.3281178887502,-10.7041398234305
1042,-12.6711680432589,-13.4738903671654,-10.8660613355162,-11.1879582463352,-10.6368747006635
1043,-12.5930429963099,-13.4479550389597,-10.7382496111188,-11.0946133734952,-10.6213714865604
1044,-12.5395411245874,-13.4359357872143,-10.6576284466238,-11.051917688027,-10.6613567795501
1045,-12.512125166587,-13.4382674061672,-10.6282197289763,-11.0637056077275,-10.7605571780612
1046,-12.5119330827991,-13.4552704523384,-10.6532370002685,-11.1329838331638,-10.9217747905923
1047,-12.5381034195561,-13.486562206452,-10.7309174306775,-11.2576634318232,-11.1421203357549
1048,-12.589014475846,-13.5314925391237,-10.8576059993504,-11.4337179328875,-11.4165404662344
1049,-12.6630430758018,-13.5894108022022,-11.0296440146459,-11.657117106778,-11.7399776365
1050,-12.7585660435565,-13.6596663475363,-11.2433727849228,-11.9238307239162,-12.107374301021
1051,-12.8739602032432,-13.7416085269748,-11.49513361854,-12.2298285547235,-12.5136729142663
1052,-13.007602378995,-13.8345866923665,-11.7812678238562,-12.5710803696213,-12.9538159307053
