"calage","c14age","c14sig","c14ageUpper","c14ageLower"
724,808.517481527443,10.8182690329275,786.880929851489,830.193315926732
725,809.024168151971,10.9301454268751,787.232711919886,830.876570777383
726,811.191873092745,10.7141433880429,789.907012311456,832.6267932467
727,814.707756579656,10.8971706325272,792.936728413278,836.520952477086
728,819.424125869292,10.8145763262911,797.839260358404,841.10223178604
729,825.542196141012,10.8729412811445,803.796846855816,847.326471065346
730,833.824301469141,11.0822660551542,811.583260777441,855.979407078867
731,843.833414310362,10.9182809458481,822.082474303583,865.736935669867
732,853.128873854503,11.0774707731304,830.912664072902,875.260478580891
733,859.167326329987,10.9369879587296,837.220095515541,881.050593630819
734,861.894008667475,10.870366425095,840.220096055585,883.663995683543
735,862.235870318238,10.9545498667094,840.429405310477,884.205807823025
736,861.648025834695,10.8168444288461,839.978916232779,883.273989727009
737,861.287468734937,11.0219451183226,839.230471938562,883.309375699832
738,862.402384508704,10.9447444560484,840.422503799518,884.243793727985
739,864.942861205504,10.9517054346399,843.0315875864,886.828475202258
740,868.36811600897,11.1138447298901,846.180215318031,890.600696731117
741,871.728402969447,10.9288777773943,849.890491342329,893.553926578152
742,873.617311105349,11.1227571423899,851.403398507317,895.914875722402
743,872.827935387301,10.9771434743795,850.89210567106,894.814470621029
744,870.083187693053,11.1392498175761,847.824807536296,892.296237686635
745,867.108479218748,11.5445690718516,844.053827945504,890.265598282612
746,865.102704729946,11.4293877328683,842.378632812184,888.032323767031
747,864.824626079005,11.4979415587408,841.870531366763,887.813861820896
748,867.09240264989,11.6118535540085,843.895911922106,890.309574847267
749,872.15783166104,11.2889020357396,849.569373058019,894.732392454322
750,878.84093519477,11.424898941469,856.063124479247,901.755420767183
751,885.040174419725,11.5234803723631,861.961024844486,908.123854104237
752,889.279532943658,11.3040824738702,866.688233265297,911.896538154436
753,890.913716685547,11.4634830461958,867.972612485774,913.768078736646
754,889.262941346049,11.2367106408055,866.758324518992,911.749063287474
755,884.986993754198,11.2743215051682,862.44490333567,907.504192135047
756,879.10297368666,11.335478043693,856.388035010576,901.756576194961
757,872.753002931646,11.2441439958959,850.290327402417,895.272681078603
758,867.863757589716,11.4977799544374,844.887207446595,890.888136136257
759,865.813354929425,11.3866240794407,843.089495184759,888.613919861111
760,866.38041326681,11.5092328800952,843.330936872132,889.279694946709
761,868.688168771815,11.5555343222286,845.513482139455,891.660294590922
762,871.22435594103,11.3501035857518,848.54318877898,893.826955865852
763,871.925514518319,11.4873498395331,848.982506670525,894.996931572172
764,869.260701588794,11.23878827341,846.849115445092,891.767555557858
765,864.608414381917,11.3314768902228,841.982136279006,887.229597583515
766,860.333099548013,11.361999541235,837.669434002617,883.084268149647
767,857.89234426586,11.2442464312644,835.530439970785,880.485215775708
768,857.934271226946,11.4760097596267,835.035706054002,880.865633740406
769,860.754885585065,11.3294356067899,838.137611410985,883.536057801384
770,865.340830162863,11.4726282294049,842.432055068038,888.302739005692
771,870.262522940507,11.4248612500603,847.485384335504,893.184707493334
772,874.826138948362,11.1878110959633,852.527613069412,897.22857466668
773,878.8331760436,11.2939018581387,856.247919759493,901.425166584717
774,882.329670192136,11.0117831428217,860.293166897965,904.360552072379
775,885.206269848057,11.169546717055,862.951060310627,907.509619573603
776,887.412720489491,11.1436149874765,865.093037120349,909.676835257732
777,888.415635900883,11.0369964418032,866.36406512144,910.533946812575
778,887.376446962227,11.2279280704733,864.920068142141,909.887882208015
779,884.087680206099,11.0547654784554,861.950957329785,906.284718271413
780,880.012603436164,11.2270114553963,857.676709847173,902.566565400817
781,877.036191258352,11.1440360233012,854.781310102739,899.35841007693
782,876.253746049355,10.9176979573577,854.429127456975,898.111779132563
783,878.225620213265,11.0233940778608,856.206628522136,900.353142730702
784,882.889050439242,10.6366481742454,861.635094424426,904.148429608029
785,888.884573574747,10.5564782681408,867.717922028883,909.983578546912
786,894.454507645132,10.3579000020178,873.776981088894,915.255570165469
787,898.788111009342,10.186365356655,878.447426896737,919.187742876352
788,901.764365454496,10.3895910663724,881.033293746166,922.656674802759
789,903.467866008859,10.4953701903846,882.565360377054,924.517334719704
790,904.778709185914,11.0823100203096,882.616012785424,926.863339113083
791,906.569672327863,11.230259545423,884.040898646142,929.021464702527
792,909.68125152883,11.2313885386788,887.225085363669,932.13918960141
793,914.623964932943,11.2724827357659,892.147712409872,937.195009234941
794,921.64013194907,10.8956813258565,899.841018889134,943.499252497675
795,929.389532446699,10.9890512921671,907.418620840267,951.319038397441
796,936.432946792561,10.9291041759993,914.51322585054,958.313874265012
797,941.654105038233,11.0252712938801,919.601034002022,963.727350038476
798,944.363463749027,11.3157109631818,921.793536443062,967.096845346068
799,944.369006936616,11.2286031671226,921.897946439841,966.843999930923
800,943.262120464623,11.5252128597714,920.206250224829,966.317761490437
801,942.641682401751,11.412830528914,919.759565326593,965.465449216039
802,943.123465048718,11.3207195668589,920.45590930651,965.785134190251
803,944.518684491694,11.3786432280923,921.817868320414,967.300203637205
804,946.719260768716,11.1120410067292,924.487545502629,968.956473003107
805,949.668572623877,11.354711302915,926.927948254082,972.358809322393
806,953.068729773621,11.2267630693921,930.683996704601,975.580125829789
807,955.619027862838,11.2037749956662,933.320549709209,978.075428430781
808,955.446527344389,11.3617166818618,932.752490028915,978.215814837048
809,951.969079049795,11.2540517501663,929.518492568954,974.549809855547
810,946.916918331367,11.4759969958635,924.010119426386,969.888060662677
811,942.084413371746,11.2600743431275,919.632496234324,964.632163060669
812,938.253083240152,11.0777386500385,916.07979506469,960.452596488953
813,935.864672405433,11.0354246367377,913.837795554591,957.92322256752
814,935.04308684157,10.8111657752298,913.479269010109,956.693388452217
815,935.800181640142,10.9666961823952,913.940642672815,957.797220237749
816,937.933632514269,10.5947910995436,916.654830650714,959.119572256672
817,940.86799008643,10.2568107114615,920.312028280988,961.350733612461
818,943.737325346354,10.1395753513818,923.45345978954,964.076390698419
819,945.642321743244,10.028208921249,925.607719150926,965.758512283128
820,945.779782743557,10.2140557175488,925.369520388443,966.180285134969
821,943.591795684531,10.0400375904875,923.483018498734,963.703668695685
822,941.004826254376,10.085913771685,920.784160306575,961.162855463676
823,940.835531374762,10.1728636334693,920.488637689727,961.181811448829
824,943.709603272421,9.98623965054157,923.785555257026,963.763762405559
825,947.670348347783,10.2103296576781,927.308167878973,968.065199471939
826,950.679688717357,10.0446812088158,930.595800875139,970.717456932519
827,952.297315762185,10.1084594781596,932.0461981205,972.579030067152
828,952.602407558988,10.1721931064699,932.206484858321,972.97474613536
829,952.009733847494,10.0581925611866,931.891381619187,972.210957544925
830,951.41079067006,10.2962609796483,930.806406892522,972.017878643495
831,951.704475042269,10.1424513607336,931.461933744875,971.949586564921
832,952.673672466482,10.1973479839773,932.380491669972,973.071015253542
833,953.915925122364,10.213075495311,933.548424523076,974.365190204149
834,955.320711865028,10.0798725436954,935.216514915396,975.556620893204
835,957.05370018463,10.3180719532242,936.429060479439,977.703234945985
836,959.185625661513,10.33309429603,938.539121088989,979.804750468743
837,961.079280683683,10.702485209759,939.796844703725,982.458015589779
838,962.017406886618,10.9260481529574,940.207528458665,983.911705490928
839,961.88605181112,10.9498248899028,939.990963432006,983.802027876601
840,961.389600662112,11.2163412684444,939.013697171563,983.819117067546
841,960.970327073904,11.05714355243,938.794498292946,983.049610012093
842,960.3703036062,11.1095287191632,938.202236867041,982.707369432322
843,959.068419121418,11.0064073326302,937.038341619942,981.068226045935
844,956.888022707512,10.8310599251796,935.170880536194,978.523266317682
845,954.061732594924,11.0445657752848,932.015825638524,976.15059165895
846,950.850631728697,10.8546527492399,929.265600860286,972.546966110544
847,947.881304438908,11.0291434326063,925.786168416879,969.908346521447
848,945.832638526245,11.0536991629137,923.787873689013,968.010683884428
849,944.575832049405,11.0351975786335,922.536031339011,966.648794670752
850,943.288419818675,11.2466788074305,920.846562418938,965.810247568352
851,941.648044955628,11.0180029843173,919.504511582354,963.689891945151
852,940.237349529321,11.1161666475273,918.0089356294,962.457032210778
853,939.881729304812,11.0202028321948,917.881530922529,961.887753722365
854,941.27866978975,10.9607669999515,919.411662246888,963.200555284882
855,944.914272812949,11.1021386487894,922.704037085394,967.094344366412
